0,01	0,01
0,4098	0,4098
0,8096	0,8096
1,2094	1,2094
1,6092	1,6092
2,009	2,009
2,4088	2,4088
2,8086	2,8086
3,2084	3,2084
3,6082	3,6082
4,008	4,008
4,4078	4,4078
4,8076	4,8076
5,2074	5,2074
5,6072	5,6072
6,007	6,007
6,4068	6,4068
6,8066	6,8066
7,2064	7,2064
7,6062	7,6062
8,006	8,006
8,4058	8,4058
8,8056	8,8056
9,2054	9,2054
9,6052	9,6052
10,005	10,005
10,4048	10,4048
10,8046	10,8046
11,2044	11,2044
11,6042	11,6042
12,004	12,004
12,4038	12,4038
12,8036	12,8036
13,2034	13,2034
13,6032	13,6032
14,003	14,003
14,4028	14,4028
14,8026	14,8026
15,2024	15,2024
15,6022	15,6022
16,002	16,002
16,4018	16,4018
16,8016	16,8016
17,2014	17,2014
17,6012	17,6012
18,001	18,001
18,4008	18,4008
18,8006	18,8006
19,2004	19,2004
19,6002	19,6002
